t	v
0	-60
0.1	-62.5826
0.2	-64.6234
0.3	-66.1747
0.4	-67.3429
0.5	-68.2204
0.6	-68.8791
0.7	-69.3736
0.8	-69.7446
0.9	-70.0227
1	-70.231
1.1	-70.3866
1.2	-70.5025
1.3	-70.5883
1.4	-70.6514
1.5	-70.6974
1.6	-70.7303
1.7	-70.7534
1.8	-70.769
1.9	-70.7791
2	-70.7849
2.1	-70.7875
2.2	-70.7878
2.3	-70.7864
2.4	-70.7837
2.5	-70.7802
2.6	-70.776
2.7	-70.7715
2.8	-70.7667
2.9	-70.7619
3	-70.757
3.1	-70.7522
3.2	-70.7476
3.3	-70.7431
3.4	-70.7388
3.5	-70.7346
3.6	-70.7307
3.7	-70.727
3.8	-70.7235
3.9	-70.7201
4	-70.717
4.1	-70.717
4.2	-70.7169
4.3	-70.7169
4.4	-70.7169
4.5	-70.7168
4.6	-70.7168
4.7	-70.7168
4.8	-70.7167
4.9	-70.7167
5	-70.7166
5.1	-70.7166
5.2	-70.7166
5.3	-70.7165
5.4	-70.7165
5.5	-70.7164
5.6	-70.7164
5.7	-70.7164
5.8	-70.7163
5.9	-70.7163
6	-70.7163
6.1	-70.7162
6.2	-70.7162
6.3	-70.7161
6.4	-70.7161
6.5	-70.7161
6.6	-70.716
6.7	-70.716
6.8	-70.716
6.9	-70.7159
7	-70.7159
7.1	-70.7158
7.2	-70.7158
7.3	-70.7158
7.4	-70.7157
7.5	-70.7157
7.6	-70.7157
7.7	-70.7156
7.8	-70.7156
7.9	-70.7155
8	-70.7155
8.1	-70.7155
8.2	-70.7154
8.3	-70.7154
8.4	-70.7154
8.5	-70.7153
8.6	-70.7153
8.7	-70.7152
8.8	-70.7152
8.9	-70.7152
9	-70.7151
9.1	-70.7151
9.2	-70.7151
9.3	-70.715
9.4	-70.715
9.5	-70.715
9.6	-70.7149
9.7	-70.7149
9.8	-70.7148
9.9	-70.7148
10	-70.7148
10.1	-70.7147
10.2	-70.7147
10.3	-70.7147
10.4	-70.7146
10.5	-70.7146
10.6	-70.7146
10.7	-70.7145
10.8	-70.7145
10.9	-70.7144
11	-70.7144
11.1	-70.7144
11.2	-70.7143
11.3	-70.7143
11.4	-70.7143
11.5	-70.7142
11.6	-70.7142
11.7	-70.7142
11.8	-70.7141
11.9	-70.7141
12	-70.7141
12.1	-70.714
12.2	-70.714
12.3	-70.714
12.4	-70.7139
12.5	-70.7139
12.6	-70.7138
12.7	-70.7138
12.8	-70.7138
12.9	-70.7137
13	-70.7137
13.1	-70.7137
13.2	-70.7136
13.3	-70.7136
13.4	-70.7136
13.5	-70.7135
13.6	-70.7135
13.7	-70.7135
13.8	-70.7134
13.9	-70.7134
14	-70.7134
14.1	-70.7133
14.2	-70.7133
14.3	-70.7133
14.4	-70.7132
14.5	-70.7132
14.6	-70.7132
14.7	-70.7131
14.8	-70.7131
14.9	-70.7131
15	-70.713
15.1	-70.713
15.2	-70.713
15.3	-70.7129
15.4	-70.7129
15.5	-70.7129
15.6	-70.7128
15.7	-70.7128
15.8	-70.7128
15.9	-70.7127
16	-70.7127
16.1	-70.7127
16.2	-70.7126
16.3	-70.7126
16.4	-70.7126
16.5	-70.7125
16.6	-70.7125
16.7	-70.711
16.8	-70.6971
16.9	-70.6765
17	-70.6534
17.1	-70.6272
17.2	-70.6007
17.3	-70.5729
17.4	-70.5454
17.5	-70.5175
17.6	-70.4901
17.7	-70.4626
17.8	-70.4357
17.9	-70.4089
18	-70.3827
18.1	-70.3567
18.2	-70.3313
18.3	-70.3063
18.4	-70.2818
18.5	-70.2577
18.6	-70.2342
18.7	-70.2111
18.8	-70.1885
18.9	-70.1665
19	-70.1449
19.1	-70.1239
19.2	-70.1034
19.3	-70.0834
19.4	-70.064
19.5	-70.045
19.6	-70.0237
19.7	-69.9982
19.8	-69.9688
19.9	-69.934
20	-69.8945
20.1	-69.8512
20.2	-69.8045
20.3	-69.7552
20.4	-69.7037
20.5	-69.6506
20.6	-69.5961
20.7	-69.5407
20.8	-69.4847
20.9	-69.4285
21	-69.3721
21.1	-69.316
21.2	-69.2601
21.3	-69.2047
21.4	-69.15
21.5	-69.096
21.6	-69.0429
21.7	-68.9907
21.8	-68.9395
21.9	-68.8894
22	-68.8404
22.1	-68.7925
22.2	-68.7458
22.3	-68.7002
22.4	-68.6559
22.5	-68.6128
22.6	-68.5709
22.7	-68.5303
22.8	-68.4908
22.9	-68.4526
23	-68.4155
23.1	-68.3797
23.2	-68.345
23.3	-68.3115
23.4	-68.2791
23.5	-68.2478
23.6	-68.2177
23.7	-68.1886
23.8	-68.1605
23.9	-68.1335
24	-68.1075
24.1	-68.0825
24.2	-68.0585
24.3	-68.0354
24.4	-68.0133
24.5	-67.992
24.6	-67.9717
24.7	-67.9521
24.8	-67.9335
24.9	-67.9156
25	-67.8985
25.1	-67.8822
25.2	-67.8667
25.3	-67.8519
25.4	-67.8378
25.5	-67.8244
25.6	-67.8116
25.7	-67.7996
25.8	-67.7881
25.9	-67.7773
26	-67.7671
26.1	-67.7575
26.2	-67.7484
26.3	-67.7399
26.4	-67.7319
26.5	-67.7245
26.6	-67.7175
26.7	-67.7111
26.8	-67.7051
26.9	-67.6996
27	-67.6945
27.1	-67.6899
27.2	-67.6857
27.3	-67.6819
27.4	-67.6785
27.5	-67.6755
27.6	-67.6729
27.7	-67.6707
27.8	-67.6688
27.9	-67.6672
28	-67.666
28.1	-67.6651
28.2	-67.6645
28.3	-67.6642
28.4	-67.6642
28.5	-67.6645
28.6	-67.6651
28.7	-67.6659
28.8	-67.667
28.9	-67.6683
29	-67.6699
29.1	-67.6718
29.2	-67.6738
29.3	-67.6761
29.4	-67.6786
29.5	-67.6813
29.6	-67.6842
29.7	-67.6873
29.8	-67.6906
29.9	-67.694
30	-67.6977
30.1	-67.7015
30.2	-67.7055
30.3	-67.7096
30.4	-67.7139
30.5	-67.7184
30.6	-67.723
30.7	-67.7249
30.8	-67.7224
30.9	-67.7172
31	-67.7095
31.1	-67.6997
31.2	-67.6885
31.3	-67.6758
31.4	-67.6622
31.5	-67.6478
31.6	-67.6328
31.7	-67.6173
31.8	-67.6016
31.9	-67.5856
32	-67.5697
32.1	-67.5537
32.2	-67.5379
32.3	-67.5222
32.4	-67.5068
32.5	-67.4917
32.6	-67.4769
32.7	-67.4625
32.8	-67.4485
32.9	-67.4349
33	-67.4218
33.1	-67.4091
33.2	-67.3969
33.3	-67.3852
33.4	-67.374
33.5	-67.3633
33.6	-67.3531
33.7	-67.3434
33.8	-67.3343
33.9	-67.3256
34	-67.3174
34.1	-67.3097
34.2	-67.3024
34.3	-67.2957
34.4	-67.2894
34.5	-67.2836
34.6	-67.2783
34.7	-67.2734
34.8	-67.2689
34.9	-67.2648
35	-67.2612
35.1	-67.258
35.2	-67.2552
35.3	-67.2528
35.4	-67.2507
35.5	-67.2491
35.6	-67.2477
35.7	-67.2468
35.8	-67.2462
35.9	-67.2459
36	-67.2459
36.1	-67.2463
36.2	-67.247
36.3	-67.2479
36.4	-67.2492
36.5	-67.2507
36.6	-67.2525
36.7	-67.2546
