t	v
33	-66.7848
33.1	-66.77
33.2	-66.7558
33.3	-66.7422
33.4	-66.7291
33.5	-66.7167
33.6	-66.7049
33.7	-66.6936
33.8	-66.6829
33.9	-66.6729
34	-66.6634
34.1	-66.6545
34.2	-66.6461
34.3	-66.6384
34.4	-66.6311
34.5	-66.6245
34.6	-66.6183
34.7	-66.6127
34.8	-66.6076
34.9	-66.603
35	-66.5989
35.1	-66.5953
35.2	-66.5921
35.3	-66.5894
35.4	-66.5872
35.5	-66.5854
35.6	-66.584
35.7	-66.5831
35.8	-66.5825
35.9	-66.5823
36	-66.5825
36.1	-66.5831
36.2	-66.5841
36.3	-66.5854
36.4	-66.587
36.5	-66.589
36.6	-66.5913
36.7	-66.5939
36.8	-66.5968
36.9	-66.6
37	-66.6035
37.1	-66.6072
37.2	-66.6112
37.3	-66.6155
37.4	-66.6201
37.5	-66.6249
37.6	-66.6299
37.7	-66.6351
37.8	-66.6406
37.9	-66.6463
38	-66.6522
38.1	-66.6583
38.2	-66.6645
38.3	-66.671
38.4	-66.6777
38.5	-66.6845
38.6	-66.6915
38.7	-66.6986
38.8	-66.706
38.9	-66.7134
39	-66.7211
39.1	-66.7288
39.2	-66.7367
39.3	-66.7447
39.4	-66.7529
39.5	-66.7612
39.6	-66.7696
39.7	-66.7781
39.8	-66.7867
39.9	-66.7954
40	-66.8043
40.1	-66.8132
40.2	-66.8222
40.3	-66.8313
40.4	-66.8405
40.5	-66.8498
40.6	-66.8591
40.7	-66.8686
40.8	-66.8781
40.9	-66.8877
41	-66.8973
41.1	-66.907
41.2	-66.9168
41.3	-66.9266
41.4	-66.9365
41.5	-66.9464
41.6	-66.9564
41.7	-66.9665
41.8	-66.9766
41.9	-66.9867
42	-66.9969
42.1	-67.0071
42.2	-67.0173
42.3	-67.0276
42.4	-67.0379
42.5	-67.0482
42.6	-67.0586
42.7	-67.069
42.8	-67.0794
42.9	-67.0899
43	-67.1004
43.1	-67.1109
43.2	-67.1214
43.3	-67.1319
43.4	-67.1424
43.5	-67.153
43.6	-67.1636
43.7	-67.1741
43.8	-67.1847
43.9	-67.1953
44	-67.2059
44.1	-67.2166
44.2	-67.2272
44.3	-67.2378
44.4	-67.2484
44.5	-67.2591
44.6	-67.2697
44.7	-67.2803
44.8	-67.291
44.9	-67.3016
45	-67.3122
45.1	-67.3228
45.2	-67.3335
45.3	-67.3441
45.4	-67.3547
45.5	-67.3653
45.6	-67.3759
45.7	-67.3864
